title,country,mbfc_page,bias_raw,Factual,Ideology,url
Filming Cops,,left,left6,High,L,http://filmingcops.com/
Fifth Estate,,left,left8,High,L,https://www.fifthestate.org/
Foreign Policy Journal,USA,left,left4,Mixed,L,https://www.foreignpolicyjournal.com
Food and Water Watch,USA,left,left4,Mixed,L,https://www.foodandwaterwatch.org
Foreign Policy News,USA,left,left7,Mixed,L,http://foreignpolicynews.org
Finnish News,Finland,left,left5,MostlyFactual,L,https://www.finnishnews.fi/
Free Press,,left,left3,High,L,http://freepress.org/
Freedom News and Journal,,left,left3,High,L,https://freedomnews.org.uk/
Freedom From Religion Foundation (FFRF),USA,left,left10,Mixed,L,https://ffrf.org/
Geopolitics Alert,USA,left,left9,Mixed,L,https://geopoliticsalert.com/
Free Rein News,Unknown,left,left2,High,L,http://frnewsreport.com
FStv (freespeech.org),USA,left,left7,Mixed,L,https://www.freespeech.org/
Front Page Live,USA,left,left4,MostlyFactual,L,https://www.frontpagelive.com
Gizmodo,USA,left,left10,High,L,https://gizmodo.com
Good Magazine,,left,left9,High,L,https://www.good.is/
Green Left Weekly,Australia,left,left4,Mixed,L,https://www.greenleft.org.au
Global Voices,USA,left,left12,High,L,https://globalvoices.org/
Grasping Reality With Both Hands: Bradford DeLong,USA,left,left9,High,L,http://www.bradford-delong.com/
Grit Post,USA,left,left9,High,L,https://gritpost.com
GQ Magazine,USA,left,left11,High,L,https://www.gq.com
Guardian Liberty Voice,USA,left,left5,MostlyFactual,L,https://guardianlv.com/
Haaretz,Israel,left,left11,High,L,https://www.haaretz.com/
Guardians of Democracy,USA,left,left1,Mixed,L,https://theguardiansofdemocracy.com/
Hill Reporter,USA,left,left5,High,L,https://hillreporter.com
Human Rights Campaign (HRC),USA,left,left6,High,L,https://www.hrc.org
Huffington Post (HuffPost),USA,left,left8,Mixed,L,https://www.huffpost.com/
In Defence of Marxism,,left,left3,High,L,https://www.marxist.com/
In These Times,USA,left,left4,MostlyFactual,L,https://inthesetimes.com/
Inequality Media,,left,left12,High,L,https://www.inequalitymedia.org/
Informed Comment,,left,left11,,L,https://www.juancole.com
International Viewpoint,,left,left1,Mixed,L,http://www.internationalviewpoint.org/
Institute for Policy Studies,,left,left2,High,L,https://ips-dc.org/
Iowa Starting Line,USA,left,left8,High,L,https://iowastartingline.com
Intrepid Report,USA,left,left6,Mixed,L,http://www.intrepidreport.com/
It’s Going Down,USA,left,left2,Mixed,L,https://itsgoingdown.org/
Jezebel,USA,left,left3,High,L,https://jezebel.com/
Lavender Magazine,USA,left,left9,High,L,https://www.lavendermagazine.com/
Jacobin,USA,left,left4,High,L,https://www.jacobinmag.com/
Latest.com,USA,left,left1,Mixed,L,https://latest.com
JoeBiden.com,USA,left,left8,MostlyFactual,L,https://joebiden.com/
LA Weekly,USA,left,left2,Mixed,L,https://www.laweekly.com/
Left Foot Forward,,left,left7,High,L,https://leftfootforward.org/
Left Over Rights,,left,left3,Mixed,L,http://leftoverrights.com/
LeftScoop,,left,left1,Mixed,L,https://www.leftscoop.com/
Left Voice,Argentina,left,left8,High,L,https://www.leftvoice.org
Libcom.org,,left,left2,High,L,http://libcom.org
LGBTQ Nation,USA,left,left4,MostlyFactual,L,https://www.lgbtqnation.com/
Liberal America,USA,left,left6,Mixed,L,http://liberalamerica.org/
Liberal Examiner,,left,left1,Mixed,L,https://www.liberalexaminer.com/
Mediaite,USA,left,left7,Mixed,L,https://www.mediaite.com/
Little Green Footballs,USA,left,left8,High,L,http://littlegreenfootballs.com/
Media Matters,USA,left,left7,High,L,https://www.mediamatters.org
Mashable,USA,left,left10,MostlyFactual,L,https://mashable.com
Liberation News,,left,left8,High,L,https://www.liberationnews.org/
Meduza,Latvia,left,left11,,L,https://meduza.io/en
MeidasTouch,USA,left,left2,Mixed,L,https://www.meidastouch.com/
Miami New Times,,left,left7,High,L,http://www.miaminewtimes.com/
Merry Jane,,left,left10,High,L,https://www.merryjane.com/
Middle East Monitor,UK,left,left9,Mixed,L,https://www.middleeastmonitor.com/
Modern Liberals,USA,left,left1,Mixed,L,http://modernliberals.com/
Molad The Center for the Renewal of Israeli Democracy,,left,left10,High,L,http://www.molad.org/en/
Mondoweiss,,left,left12,High,L,http://mondoweiss.net/
Ms. (Magazine),,left,left10,High,L,http://www.msmagazine.com/
Moon of Alabama,USA,left,left4,Mixed,L,https://www.moonofalabama.org/
National Association for the Advancement of Colored People (NAACP),USA,left,left9,High,L,https://www.naacp.org/
MSNBC,USA,left,left8,Mixed,L,https://www.msnbc.com/
Nation of Change,USA,left,left5,MostlyFactual,L,https://www.nationofchange.org/
Natural Resources Defense Council (NRDC),USA,left,left10,MostlyFactual,L,https://www.nrdc.org/
New Internationalist,UK,left,left4,High,L,https://newint.org/
New York Magazine,USA,left,left9,High,L,http://nymag.com/
New Republic,USA,left,left6,High,L,https://newrepublic.com/
New Yorker,USA,left,left7,High,L,https://www.newyorker.com/
New Statesman,UK,left,left6,High,L,https://www.newstatesman.com
New York Amsterdam News,USA,left,left11,High,L,http://amsterdamnews.com
New Politics Magazine,USA,left,leftcenter01,Mixed,LC,https://newpol.org/
News Corpse,USA,left,left2,Mixed,L,https://www.newscorpse.com/
NewsHounds,USA,left,left4,Mixed,L,https://www.newshounds.us/
Now Magazine,,left,left12,Mixed,L,https://nowtoronto.com/
Occupy.com,USA,left,left6,High,L,https://www.occupy.com
Newsweek,USA,left,left7,Mixed,L,http://www.newsweek.com/
North99,Canada,left,left6,Mixed,L,https://north99.org/
NewsOne,USA,left,left7,MostlyFactual,L,https://newsone.com/
OpEdNews (OEN),,left,left3,Mixed,L,https://www.opednews.com/
One Green Planet,USA,left,left3,Mixed,L,http://www.onegreenplanet.org
Paste Magazine,,left,left8,High,L,https://www.pastemagazine.com/
Palmer Report,USA,left,left3,Mixed,L,https://www.palmerreport.com
People for the American Way (PFAW),,left,left11,High,L,http://www.pfaw.org
Peacock Panache,USA,left,left3,Mixed,L,https://www.peacock-panache.com/
Out Magazine,USA,left,left8,,L,https://www.out.com
PINAC,,left,leftcenter02,High,LC,https://photographyisnotacrime.com/
People Magazine,USA,left,left12,High,L,https://people.com
Politizoom,USA,left,left3,Mixed,L,https://politizoom.com
Political Tribune (DC Tribune),USA,left,left1,Mixed,L,https://politicaltribune.org/
PinkNews,UK,left,left8,High,L,https://www.pinknews.co.uk
PoliticusUSA,USA,left,left2,Mixed,L,https://www.politicususa.com
Political Dig,USA,left,left2,Mixed,L,http://politicaldig.com/
Popular Information,USA,left,left7,High,L,https://popular.info
Popular Resistance,,left,left9,Mixed,L,https://popularresistance.org/
Progressive Army,,left,left8,High,L,http://progressivearmy.com
Press Progress,Canada,left,left10,High,L,https://www.pressprogress.ca/
Progressive Change Campaign Committee,USA,left,left2,Mixed,L,https://www.boldprogressives.org/
Project Censored,,left,left11,High,L,http://projectcensored.org/
Queerty,,left,left10,High,L,https://www.queerty.com
Rantt Media,USA,left,left11,High,L,https://rantt.com
Rabble.ca,Canada,left,left5,High,L,http://rabble.ca/
Rappler,,left,left12,Mixed,L,http://www.rappler.com/
Reader Supported News (RSN),,left,left8,Mixed,L,http://readersupportednews.org
Real News Network,USA,left,left10,High,L,https://therealnews.com/
Reading the Pictures,,left,left10,High,L,http://www.readingthepictures.org
Raw Story,USA,left,left5,Mixed,L,https://www.rawstory.com/
Red Pepper,UK,left,left2,High,L,http://www.redpepper.org.uk/
Refinery29,USA,left,left6,MostlyFactual,L,https://www.refinery29.com/en-us
Republicans Suck,,left,left1,Mixed,L,http://republicanssucks.org
Resilience (Post Carbon Institute),USA,left,left3,Mixed,L,https://www.resilience.org
Republic Report,USA,left,left8,High,L,https://www.republicreport.org
Revcom.us,,left,left2,Mixed,L,http://revcom.us/
Rewire.news,USA,left,left8,,L,https://rewire.news/
Right Wing Watch,USA,left,left3,High,L,https://www.rightwingwatch.org/
Ring of Fire,USA,left,left2,Mixed,L,https://trofire.com/
Rolling Stone,USA,left,left9,High,L,https://www.rollingstone.com/
Seventeen,USA,left,left7,High,L,https://www.seventeen.com/
Salon,USA,left,left6,High,L,https://www.salon.com
Scary Mommy,,left,left12,High,L,http://www.scarymommy.com/
Shadow Proof,,left,left4,High,L,https://shadowproof.com
Shondaland,USA,left,left11,MostlyFactual,L,https://www.shondaland.com/
Shareblue,USA,left,left1,Mixed,L,https://shareblue.com/
Smirking Chimp,,left,left8,High,L,http://www.smirkingchimp.com/
Sludge,USA,left,left11,High,L,https://readsludge.com/
Socialist Standard,UK,left,left3,Mixed,L,https://www.worldsocialism.org/spgb/
Slate,USA,left,left8,High,L,https://slate.com
Source Politics,USA,left,left2,Mixed,L,https://www.sourcepolitics.com
SocialistWorker.org,USA,left,left3,High,L,https://socialistworker.org/
Southern Poverty Law Center,USA,left,left11,High,L,https://www.splcenter.org/
SourceWatch,USA,left,left5,MostlyFactual,L,https://www.sourcewatch.org/
Splinter,USA,left,left3,Mixed,L,https://splinternews.com
St. Pete for Peace,,left,left11,High,L,https://www.stpete4peace.org/
Syriana Analysis,,left,left11,Mixed,L,http://www.syriana-analysis.com
Teen Vogue,USA,left,left7,MostlyFactual,L,https://www.teenvogue.com
Talking Points Memo,USA,left,left8,MostlyFactual,L,https://talkingpointsmemo.com
TeleSUR,,left,left11,Mixed,L,http://www.telesurtv.net/english/
The Advocate,USA,left,left8,High,L,https://www.advocate.com
The American Prospect,USA,left,left7,High,L,https://prospect.org
The American Independent Institute,USA,left,left7,MostlyFactual,L,https://americanindependent.com/
The Austin Chronicle,USA,left,left10,High,L,https://www.austinchronicle.com
